,tournament,stage,home,score,away,url,first_shooter,First_team_wins
1,Euro,Round of 16,Portugal,3:0 PSO,Slovenia,https://www.transfermarkt.com/spielbericht/index/spielbericht/4359332,Slovenia,0
2,Euro,Semi-Finals,Italy,4:2 PSO,Spain,https://www.transfermarkt.com/spielbericht/index/spielbericht/3598434,Italy,1
3,Euro,Round of 16,France,4:5 PSO,Switzerland,https://www.transfermarkt.com/spielbericht/index/spielbericht/3587344,Switzerland,1
4,Euro,Quarter-Finals,Poland,3:5 PSO,Portugal,https://www.transfermarkt.com/spielbericht/index/spielbericht/2702906,Portugal,1
5,Euro,Semi-Finals,Portugal,2:4 PSO,Spain,https://www.transfermarkt.com/spielbericht/index/spielbericht/2221241,Spain,1
6,Euro,Quarter-Finals,Spain,4:2 PSO,Italy,https://www.transfermarkt.com/spielbericht/index/spielbericht/910151,Spain,1
7,Euro,Quarter-Finals,Sweden,4:5 PSO,Netherlands,https://www.transfermarkt.com/spielbericht/index/spielbericht/21030,Sweden,0
8,Euro,Semi-Finals,Netherlands,1:3 PSO,Italy,https://www.transfermarkt.com/spielbericht/index/spielbericht/935960,Italy,1
9,Euro,Semi-Finals,Czechia,6:5 PSO,France,https://www.transfermarkt.com/spielbericht/index/spielbericht/935929,France,0
10,Euro,Quarter-Finals,France,5:4 PSO,Netherlands,https://www.transfermarkt.com/spielbericht/index/spielbericht/935927,Netherlands,0
11,Euro,Semi-Finals,Spain,5:4 PSO,Denmark,https://www.transfermarkt.com/spielbericht/index/spielbericht/964067,Denmark,0
12,Euro,Final,ČSR,5:3 PSO,Germany,https://www.transfermarkt.com/spielbericht/index/spielbericht/965787,Germany,0
13,Euro,Quarter-Finals,Portugal,3:5 PSO,France,https://www.transfermarkt.com/spielbericht/index/spielbericht/4359337,France,1
14,Euro,Final,Italy,3:2 PSO,England,https://www.transfermarkt.com/spielbericht/index/spielbericht/3605575,Italy,1
15,Euro,Quarter-Finals,Switzerland,1:3 PSO,Spain,https://www.transfermarkt.com/spielbericht/index/spielbericht/3590598,Spain,1
16,Euro,Quarter-Finals,Germany,6:5 PSO,Italy,https://www.transfermarkt.com/spielbericht/index/spielbericht/2702908,Italy,0
17,Euro,Round of 16,Switzerland,4:5 PSO,Poland,https://www.transfermarkt.com/spielbericht/index/spielbericht/2701329,Switzerland,0
18,Euro,Quarter-Finals,England,2:4 PSO,Italy,https://www.transfermarkt.com/spielbericht/index/spielbericht/2219616,Italy,1
19,Euro,Quarter-Finals,Croatia,1:3 PSO,Turkiye,https://www.transfermarkt.com/spielbericht/index/spielbericht/910143,Croatia,0
20,Euro,Quarter-Finals,Portugal,6:5 PSO,England,https://www.transfermarkt.com/spielbericht/index/spielbericht/21028,England,0
21,Euro,Semi-Finals,Germany,6:5 PSO,England,https://www.transfermarkt.com/spielbericht/index/spielbericht/935928,England,0
22,Euro,Quarter-Finals,Spain,2:4 PSO,England,https://www.transfermarkt.com/spielbericht/index/spielbericht/935925,England,1
23,Euro,Semi-Finals,Netherlands,4:5 PSO,Denmark,https://www.transfermarkt.com/spielbericht/index/spielbericht/928099,Netherlands,0
24,Euro,Third Place Play-Off,ČSR,9:8 PSO,Italy,https://www.transfermarkt.com/spielbericht/index/spielbericht/964081,Italy,0
